NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
226	suck (e.g. candy)	1421	SUCK (verb)
227	sugar cane	146	SUGAR CANE (noun)
228	sun	1343	SUN (noun)
230	sweet potato	159	SWEET POTATO (noun)
231	sweet sorghum (stalk chewed like sugar cane)	347	SORGHUM (noun)
232	sweet, sugary (taste)	717	SWEET (adjective)
233	swim, go swimming	1439	SWIM (verb)
235	tail (of dog, sheep, etc.)	1220	TAIL (noun)
236	take a stroll, walk around		
237	ten	1515	TEN
238	the bush, outback (away from settlements)		
240	thigh, upper leg (of person)	800	THIGH (noun)
241	thin (linear object, e.g. pole)	2308	THIN (adjective)
242	thing (general term)	738	THING (noun)
243	thousand	1843	THOUSAND
244	three	492	THREE
245	throw (e.g. stone)	1456	THROW (verb)
246	tie, tie up (sth or sb, with a rope)	1917	TIE (verb)
247	time, moment in time	892	TIME (noun)
249	to blow	176	BLOW (WITH MOUTH) (verb)
253	to crush/grind	1033	GRIND (verb)
254	to cry/weep	1839	CRY (verb)
264	to know	1410	KNOW (SOMETHING) (verb)
272	tongue	1205	TONGUE (noun)
273	tooth	1380	TOOTH (noun)
274	tree bark	1204	BARK (noun)
275	tree or large woody shrub	906	TREE (noun)
276	two	1498	TWO
277	under (sth)	1485	
278	vomit (verb only)	1278	VOMIT (verb)
279	wash (clothing)	1453	WASH (verb)
280	water	948	WATER (noun)
281	weaver		
282	weep (verb only)	1839	
283	wet (adjective)	1726	WET (adjective)
284	what?	1236	WHAT
285	when? (e.g. what day?)	1238	WHEN
286	where? (location)	1237	WHERE
287	which?	727	WHICH
288	white, light-colored	1335	WHITE (adjective)
289	who?	1235	WHO
290	why?	1270	WHY
291	wide	1243	WIDE (adjective)
292	wide (passageway)	1243	WIDE (adjective)
293	wife	1199	WIFE (noun)
295	wind (airflow)	960	WIND (noun)
297	wing (of bird)	1257	WING (noun)
298	with what?	1236	WHAT
299	woman, female person	2105	FEMALE PERSON (noun)
300	wood	1803	WOOD (noun)
301	world (of the living)	965	WORLD (noun)
302	year	1226	YEAR (noun)
303	yellow	1424	YELLOW (adjective)
304	yesterday	1174	YESTERDAY
