code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50018,,,2011,,herb sp.,plante herbacée sp.,,,yàyò:-jìmbê:,"ní:-sáwà (""water grass"")",[sòŋ àrⁿá] bérì,,"jɛ̀rɛ̀-ɔ̀yɔ́ (""harvest-grass"")",,,,,,,,,"jìrì-lìgíjì (""eye-rub"", seed used to remove particles from eye, cf. Endostemon and Ocimum)",,kèrù-jìgìríyé,"dɔ̀rɔ̀-mɔ̀-sɔ́ŋgɔ̀ (""nape-..."")",,sèmdè jɛ́mɛ̀:,,,,,,,,,,,,,,"fìfìrì-búnd-ó (""stirring stick"")","kìrò-mɔ̀:-lɔ̀wtí (""bird-rice-...""",,Dicliptera paniculata,"Peristrophe bicalyculata, Peristrophe paniculata",,hexagonal stem,plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50010,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dicliptera verticillata,,,hexagonal stem,plant,2004_250 Walo
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50011,,,2011,,herb sp.,plante herbacée sp.,,,tì-ta᷈:-m sàmbà:,àwàyàkɛ̂m,,,"wàr-cɛ̌m ~ wàr-kɛ̌m (""antilope-point"")",lù:rò-kà:-ná:,,,wàr-kɛ̌ᶰ,ɛ̀n-[jì-jí],,,xxx,,,bènjììⁿ-sɔ́ŋɔ́lɔ́,"pílú-pàlù, gàmmà-gìyé (""cat-thorn"", JH < Z)","yɔ̀gùmɛ̀-kɔ̀:-gú (""camel-grass"")",yɔ̯à:-dò:jé,"ɛ̀dɛ̀-mú zòyè (""chickens' thorn"")",bɔ̀rɔ̀-kɛ́mbó (Mougui),tà:nùgè-wà:lá (Boui),,,xxx,,xxx,,,"go᷈:ntú (SE spcm 1), góòntúⁿ (SE spcm 2), gô:ntúⁿ (JH 05 unid.)",,,,,,Hygrophila auriculata,,,"large thorns, quadrangular stem",plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50012,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fìbìsé ~ pìbìsé,,Hygrophila micrantha,,,Hombori specimen; small herb,plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50688,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hàyⁿɛ̀-[kì-kírì] (""ear-..."") (ground seeds used to clean impurities from eyes or ears)",,Hygrophila senegalensis,,,Kikara,plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50013,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypoestes forskalei,,,in patches; rings around stem,plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50014,,,2011,,herb sp.,plante herbacée sp.,,něn-tɛ̀rà,sàrìyǎy sáwà:,yàbúgúrí,,,,dìmìsírì,,,"yɛ̀ná: kɛ́:rù, yɛ̀ná: kɔ́gɔ́",,,,,,,gànnà-kèrú,"sùgùlù-kèrú (""ear-grass"") [also Gisekia]",,yɔ̯à: kúgɔ̀-mùŋgrèy,,gàndà-mbò sɔ̌:mɛ̀ (Mougui),,,,bòŋgè-bóŋgè,bòngè-bóngè,,,,,,,,"fɛ̀tɛ́-lé:sí, yàbúgúrí",,Lepidagathis anobrya,,,"globular inflorescence on ground, can be confused with Leucas",plant,2005_682b
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50015,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monechma ciliatum,,,"savanna, fields",plant,
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50016,,,2011,,herb sp.,plante herbacée sp.,,,,gèy-bɔ́ryɔ̂m,ɛ̀ndɛ̀-gàndé,,,ɛ̀ndɛ̀-pɛ̀tɛ́,,,,,,,,,,méléɲú (medicine for high blood pressure),xxx[elicit],,árⁿúmɔ̀ pɛ̀ndɛ̀,,mɛ̀lɛ̀njɛ̀: (Mougui),"mènjèŋgélè (Tanga, spcm seen)",,,yàgádà,yágádá,,,,,,,,,,Monechma ndellense,,,in rocks; about 0.5 m high,plant,2004_208/209
flora,flowering,flore,fleurissant,200,5,Acanthaceae,,,50017,,,2011,,herb sp.,plante herbacée sp.,,,"ɔ́lɔ́y ómdò:, sàwà:-òmdô:",,bèrèmbì-òmbórô,,,,,,,,,,,"pèlè-úmù: (""dove-tamarind"") (also Cassia)",,bɔ̀rɔ̀gɔ̀-ómmólù,àrùkwá xxx[verify],,"pèrè-kèrè ɛ́mnɛ̀ (""dove-milk"", also Euphorbia)",,bɔ̀rɔ̀-òmbélè (Mougui),dìgì-kɔ̌y (Boui),"pùndɛ́-ŋgè sòŋ (""Fulbe tamarind"")",,,,,,,àdwààɛ́-kwí:tyɛ̀ⁿ (2011),,,,"bàrí-bɔ̂:sɛ̂y (""horse-tamarind"")",,Nelsonia canescens,,,pastures; trails on ground; soft terminal spiciform spike resembles Sphenoclea zeylanica,plant,2005_526/527
