code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So (JH),Tomo Kan (Segue),Tomo Kan (Diangassagou),,"Tommo So (Tongo Tongo, JH)","Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, SE/JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,synonymy,book p,comment,domain,specimens
flora,flowering,flore,fleurissant,200,5,Brassicaceae,,,50151,,,2011,,tree sp.,arbre sp.,,bíbísì:,"mǎykìrⁿɛ́, súndù",àsàgígízì,"mǎyⁿ-kírⁿè (""...-nose"")",,jí-pi᷈:ⁿ,mǎyⁿ-kírⁿè,zípì:ⁿ,,,jí:-pɛ̀:,,,gì-gàná,,,súsúŋɔ́,xxx[elicit],gá:ŋgúwá,nɛ́nɛ̀mɛ́:,jímpɛ̀:ⁿ,súndù\\súndì,,,,,,,,,,,,"hás-ó, hás-ú ꜜbíb-ó (""... black""), hàs-ù-gís-ò",ʔàsàgísì,,Maerua crassifolia,,A220,medicinal (Fulfulde sundu),plant,
flora,flowering,flore,fleurissant,200,5,Burseraceae,,,50152,,,2011,,bdellium (shrub),arbuste sp. (bdellium),,bɔ́sùwⁿá,ùlúm-dúrù,ùndún-dúrù,"kóndì-gírⁿè (""curl-rainy.season"")",,bɔ̀ɲɔ̀rⁿɔ́,bàsùlɔ́,bòsòrⁿó,,bɔ̀ɲɔ̀rⁿɔ̀-bǐⁿ,bùɲɔ̀rⁿɔ́,mɔ̀ɲɔ́rⁿɔ̀,ínɛ̀-wànùmò,bì:ⁿ dì: bwɛ̀nɛ̀gɛ́,bì:ⁿ búŋùnɛ̂:,,gàdùbá,"gàdùbá [ID OK, JH < Ramata/Z], bɔ̀dɔ̀ kùbɔ́ xxx[ID incorrect, JH < Ramata], ","yàbùlà-bǐ: (""... Sclerocarya"")",kùnàmbě:,"àntùmùlù-bì:ⁿ (""dwarf-Sclerocarya"")","kùrà-jàŋgú\\kùrà-jàŋgé (""wild.grape-repound"")",sòŋgòm-bíyò (Boui),kúlúwà,kúlúwà,kùrà:ríyè,kúrá: ríyɛ̀,ɲàŋà-n-túllè,mílám,,"kɔ̀rɔ̀ndɔ́ɔ́mɔ́ (SE spcm 1), kɔ̌rɔ̀ndɔ̀ɔ́mɔ́ (SE spcm 2), kɔ́rɔ́ndɔ́mɔ́ (JH 05)",,,"kòlònf-ò, àlbàrkànt-ò (resin, as incense), sí:dí-bàdárâ ~ sí:rí-bàdárâ (edible root)",ʔàndúⁿdú:ⁿrù,,Commiphora africana,,A206,gum burned as incense (albarkante); tiny leaves,plant,
flora,flowering,flore,fleurissant,200,5,Burseraceae,,,50153,,,2011,,"bdellium (shrub, variety)","arbuste sp. (bdellium, variété)",,"bɔ̀sùwⁿà zélé (""Commiphora false"", described as smooth-barked)",dó:rú-ka᷈:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commiphora africana (variety),,A206,,plant,
flora,flowering,flore,fleurissant,200,5,Burseraceae,,,50154,,,2011,,shrub sp.,arbuste sp.,,,,dò:rùkâ,"[kòndì-gìrⁿè]-gùndá (""Commiphora-slave"")",,dò:rù-kâ: (Fombori),,bòsòrⁿò-bì: àrⁿá,,,,,,,,,gàdùbà-gùnnɔ́,,,kùnàmbè-gùndɔ́,,sòmbìyé (Mougui),kúnàm-bíyò (Boui),,,,,,,,,,,,,,Commiphora pedunculata,,A208,composite leaf resembles Lannea humilis,plant,
flora,flowering,flore,fleurissant,200,5,Caricaceae,,,50155,,,2011,,papaya,papaye,,,,,bɔ̀rɔ̀-kɛ́rɛ́,,,,,,pàpàyé,"pá-páyê:, pù-pɔ̂:",pùpɔ́:,pàpây,mànjé,mànjɛ́ⁿ,,màànjè-ý,xxx[elicit],mànjêŋ,pàpǎy,,,,,,,,mà:njó,,,,,,,"ʔànnàsá:rá-kàmbâ (""white.person-zaban"")",,Carica papaya,,A222,,plant,
flora,flowering,flore,fleurissant,200,5,Caryophyllaceae,,,50156,,,2011,,herb sp.,plante herbacée sp.,,pètìkìlèy-tàŋá,,gèmdàmbú,,,,,,,,,,,ɲúmbèlè pí:,,,,,,,,"jènà-pɛ̀ndú\\jènà-pɛ̀ndú-mbó (""rainy.season-calabash.cover"")",,,,,,,,,,,,,,,Polycarpaea corymbosa var. corymbosa,,,flowers in corymb (flat-topped),plant,
flora,flowering,flore,fleurissant,200,5,Caryophyllaceae,,,50157,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bòŋ-kà:ríyâ (""head-white"") (also Achyranthes), fè:j-èy sùb-íy-à: (""sheep's grass-Dimin"")",,,Polycarpaea eriantha,,,flowers in small irregular panicles,plant,
flora,flowering,flore,fleurissant,200,5,Caryophyllaceae,,,50158,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarpaea linearifolia,,,"Gao, San, Koulikoro; flowers in globular head",plant,
flora,flowering,flore,fleurissant,200,5,Caryophyllaceae,,,50159,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polycarpon prostratum,,,"San, Djenné",plant,
flora,flowering,flore,fleurissant,200,5,Celastraceae,,,50161,,,2011,,tree sp. with long thorns,arbre sp. à longues épines,,gíyàl-gó:tèl,"gíyàl-gó:têl (< Ful ""thorn-one"")","dòrò-tùmá (""thorn-one""), gíyàl-gó:tèl (< Ful ""thorn-one"")","dùrò-tùmâ (""thorn-one"")",,"gíyâl-gó:têl (< Ful ""thorn-one"", has large, well-separated thorns)",,,,,,xxx,,,,,dɔ̀gɔ́ sɔ̀bɔ̀,"píndú xxx[verify, cf. Pterocarpus]","gíyàl-gó:tèl (< Ful. ""thorn-one"")",dɔ̀gɔ̀-dɔ́bɔ́,,"dɔ̀gɔ́ sóbá\\dɔ̀gɔ́ sɔ́bɛ́ (""misery jab-Imperative!"")",tà:mbáná (Boui),,,,,,,,,,,,"kárgí-fólóŋ (""thorn-one""), gíyél-gó:tì (Ful ""thorn-one"")",,Gymnosporia senegalensis,Maytenus senegalensis,A223,long solitary thorns; Fulfulde giyelgootel,plant,
flora,flowering,flore,fleurissant,200,5,Celastraceae,,,50160,,,2011,,woody liana sp.,liane ligneuse sp.,,kàmà-nɛ̀ŋɛ́,,kàmàn-gànsí,,,cɛ̂:,kà:mbà-kɛ̂:,kɛ̂:,,,,,,,,,jɔ̀gú-mánà,"ɔ̀rɔ̀ ǹjɛ̌y (""baobab-fruit"", fruit edible) xxx(ID incorrect, JH < Ramata, but Z says used for rope)",,zìmbɛ́,,kɛ̌:ⁿ-ŋgò\\kɛ᷈:ⁿ,nɔ́:mɔ̀ (Boui),,,ówà,ɔ́wà,,,,kà: ɲóⁿ (JH 05),,,,kàmbàŋ-gànsí,,Loeseneriella africana,,A338,best cordage fiber; moved from family Hippocrataceae,plant,
flora,flowering,flore,fleurissant,200,5,Chrysobalanaceae,,,50162,,,2011,,tree sp.,arbre sp.,,,,,gònjó,,,,,,,àgɔ́nɔ̀,,gǎ:,máʔá,mágà:,,kùŋ-kùnjǎy,,mìnnɛ́ŋ,,,,nàlèŋgórò (Boui),mɔ́lɔ̀,,máⁿ-wây,,,,,,,,,,,Neocarya macrophylla,,A251,"Bandiagara, Djenné",plant,
flora,flowering,flore,fleurissant,200,5,Cochlospermaceae,,,zzz,,,2011,,bush sp.,buisson sp.,,,,,,,,,,,,,,,,,,,,sùlò-ánjé,,,,,,,,,,,,,,,,,,Cochlospermum tinctorium,,,Kundialang (planted),plant (planted),
flora,flowering,flore,fleurissant,200,5,Colchicaceae,,,50163,,,2011,,herb sp.,plante herbacée sp.,,,,"tálkà-ɲâ:-wúrâw (< TSK ""pauper's mother's gold"")","dárⁿá sáwà (""fever's grass"")",,,jɛ̀lɛ̀-kàrà ì: àrⁿá,,,,súgúrú-[jèlè-jálà],,,xxx,"ɔá:-twà:-cèri̊:ⁿ (""moon-nine-stem.Dimin"", flower appears about 9 months after beginning of rainy season)",,pùlɔ̀-yà:-jí:dù,ànsànà-kérú [JH < Z] xxx[verify],èyàwè-sê:,pùlyǎŋ zɛ̀:rɛ̀,,,kó:nígá yàŋgìlá (Boui),,,súgúrú ká:nú,súgúrú ká:nù,,"bù:rè-kân (""Boure.village-gold"")",,,,,,"tálkà-yⁿá:-ʔùrâw (""pauper-mother-gold"")",,Gloriosa superba var. superba,Gloriosa simplex,,brilliant red flowers,plant,2005_667 Walo
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50164,,,2011,,tree sp.,arbre sp.,,wàrú,wàrⁿú,wɔ̌n,wɛ̀:rⁿî,,wǎn,wⁿàrⁿú,wǎn,,bɔ́:gɔ́,sìgírì,sìgúrù,sìgúlù,wɛ́,wɛ̂y,,"sígɛ́lú, jóyⁿ","sígɛ́lú [OK JH < Z], jóyⁿ [JH < Z]",bɔ̀:gɔ́,wárⁿá,sìl-íyè,"sògùlû:\\sògólè, sògólù:\\sògólè","sìgólì (Boui), síkólì (Tanga)",bɔ̀:gɔ́,bɔ̀:gɔ́,sígɛ́rì,sígérì,bɔ́-bɔ́lɔ̀,sìgòl,,,,,kójól-ò,wùyé,,Anogeissus leiocarpa,,A253,leaves for yellow bogolan dye,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50165,,,2011,,shrub sp.,arbuste sp.,,jé:ⁿ-súŋ,címjɛ́,kɛ̀sɛ̌y,kì:ŋgé,,"cémɲé, [bɛ̀r-jìrè]-ɛ́:rɛ́ (""herder-peanut"")",kí:ŋgɛ́,kémsé,,kèmíɲé,ɛ̀rⁿɛ́m-kɛ́mɲɛ̀,ɛ̀rⁿɛ́-kɛ̌mɲɛ̀,sɛ́gɛ̀tɛ̀rɛ̀,,,,ɛ̀nɛ̀-kɛ́mínjɛ́,"ɛ̀nɛ̀-kɛ́mínjɛ́ (""goat-colostrum"", OK JH < Z), nìrù-nírú xxx[verify]",sɛ́gɛ̀lɛ̀,cɛ́mdù,cɛ́msɛ̀,bègìná-ŋgó\\bègìná,"dɔ́ŋkà ~ dóŋká (Boui), unagire eleŋge (Boui)",,págè,,,"ʔɔ̀rɔ̀lɛ̀-gé sàmbí-yò (""sparrows' ..."")",,,"ɲɛ̀nááǹtɔ̀rⁿɔ̀ (SE spcm 1), ɲɛ̀nàáǹtɔ̌rⁿɔ̀ (SE spcm 2), ɲɛ̀nátɔ̀rⁿɔ̀ (JH 05)",,,búbúr-ó,bùbùré,,Combretum aculeatum,,A256,"thorny, fruit 5-winged",plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50167,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,,,,bànàŋkìlè bànì-ý,,,,,,,gùzɛ̀-téndé,,,,,gùjà-[sá:nd-yé],,,,,,,,Combretum adenogonium,"Combretum fragrans, Combretum ghasalense",A258,red flower,plant,one in field near Songho
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50166,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,,,,bànàŋkìlè gúbɔ́-gúbɔ́,kùyó xxx[see C. micranthum JH < Z],,,,,,,,,,,,,,,,,,,Combretum collinum subsp. hypopilinum,,A257,yellow flowers,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50168,,,2011,,tree sp.,arbre sp.,,kòrùŋgòtó,àsàgùsɔ̂: (< Songhay),àsà-gùsɛ̂ (< Songhay),bàrⁿìŋá,,bà:rⁿá,bàngá,àbà:rⁿá,,àndà:ŋá,bànŋá,bà:rⁿá,gùdɔ̀-pílù,ʔàndàŋgá,ándáŋgà:,,bànàŋkílé,xxx[elicit],gùzâ:,bànàŋgá,bànàgà,gùjá-gùjâ:\\gùjɛ́-gùjɛ̂:,gújá (Boui),gúzɛ̀,gúzɛ̀,gújà,gújà,gújɛ̀,gùjà,,"bàmbàlà m̀bɔ́ɛ̀ (SE), bàmànà m bʷɛ́ (JH 05)",,,kòkòrb-ò,ʔàsà-gùsá,,Combretum glutinosum,,A259,"big tree, common in sandy plains; yellow flowers",plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50169,,,2011,,scrambling shrub sp.,arbuste sarmenteux sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combretum lecardii,,A260,"Bandiagara, Sangha; red flowers",plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50170,,,2011,,shrub sp.,arbuste sp.,,gǔyⁿ,jěyⁿ,gɛ̀yⁿɛ̌yⁿ,gì:yⁿɛ́,,"gǔ:ⁿ, gù:ⁿ bán (""... red"")",jɛ̀ŋɛ́,gǔ:ⁿ,,,kǔy,kùwɛ́,kéy-kèy,jìndùgú,jíndùgû:,,kùyó,kúyé [JH < Z],túnúŋ,jèŋá,kùn,swâ:\\swɛ̂:,sá (Boui),sâ:,sâ:,gùjá-kɛ́rì,gùjá` kɛ́rì,sáyà,sà:,,"tìrìmbɛ́ (SE, JH 05)",,,ɲà:jìŋgìr-ò,"kúwéy-ge᷈:ŋ (""children's fig"")",,Combretum micranthum,,A261,"medicinal, branch strips for baskets; white flowers",plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50700,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,"ʔàndàŋgà myɛ̀nɛ̀má (""... twisted"")",àndàŋgà myénémà,,,,,,,,,,,,,,,,,,,,,,Combretum nigricans,,A263,,plant,one seen at Diangasagou
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50686,,,2011,,bushy shrub sp.,arbuste buissonnant sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sà:,,,,,,,,Combretum nioroense,,A264,,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50171,,,2011,,scrambling shrub sp.,arbuste sarmenteux sp.,,,,,,,,,,,,,,,,fúrúgà: (also Sarcocephalus),,,xxx[elicit],àsàgáyò-sìndà,,,,,,,,,xxx,,,,,,,,,Combretum paniculatum,,A265,Bandiagara; red flowers,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50172,,,2011,,shrub sp.,arbuste sp.,,"gùtú, lɔ̀lɔ̀mpàgú",gùrù-pírú,gùrò pírí,"[gù-gùrà]-túndí (""...-mortar"")",,gù:rú,gùgùrò-pílím,gù:rú,,gò:rú,gù:rú,gòbùrú,gòrúbù-gòrúbù,gòbùrú,góbùrú,,gòbòró,gòbòró,tùmùm-púrè:-gù,gùrběy,gùrù,túgúnù:\\túgúnì:,tù:-démbèlè (Boui),tùlú,túlú,túrú,túrú,tùlù,túlú,,bírò (JH 05),,,gàŋk-ò,gàŋká,,Guiera senegalensis,,A267,blue-grey tint,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50173,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pteleoptis habeensis,,,"Bandiagara (escarpment), endangered sp.",plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50174,,,2011,,tree sp.,arbre sp.,,,,,kɔ̀gɔ́ xxx(which sp?),,,kɔ̀gɔ́,kɔ̀ɣɔ́ (which sp?),,kɔ̀gɔ́-pò:pá:,,,,,kɔ́gɔ̀:,,,,,kɔ̀gɔ-gùndɔ́,,,,,,kɔ́gɔ̀,kɔ́gɔ̀,,,,,,,,,,Terminalia avicennioides,,A271,huge leaves; fruit & leaves velvety-tomentose,plant,2004_422
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50695,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia laxiflora,,A275,,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50175,,,2011,,tree sp.,arbre sp.,,,kɔ̀gɔ̂:,,,,kɔ̀ɣɔ́,,,,,bɔ̀jɔ̀-kɔ̀gɔ́,bɔ̀jɔ̀-kùkɔ́:,kùkɔ́,kɔ̀ʔɔ́,kɔ́gɔ̀:,,"bɔ̀dɔ̀-kùbɔ́, kɔ̀gɔ́",xxx[elicit],"kɔ̀gɔ́ŋ, bɔ̀s-kɔ́gɔ̀ (Kundiala)",kɔ̀gɔ́,bɔ̀zɔ̀-kɔ̀kɔ̀,kɔ̀:gɔ́:\\kɔ̀:gɛ́:,"kɔ̀gɔ́lɔ̀ (Boui), kogolo (Tanga)",kɔ́:gúlɔ̀,,,,xxx,kògà,,"dàpʷídò (SE), dʷà:pʷí:dù (JH 05)",,,,,,Terminalia macroptera,,A276,huge leaves; fruits glabrous,plant,
flora,flowering,flore,fleurissant,200,5,Combretaceae,,,50176,,,2011,,tree sp.,arbre sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminalia mantaly,,A277,planted in towns (Douentza),plant (planted),
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50177,,,2011,,herb sp.,plante herbacée sp.,,,pùtùm-pǔ:,,,,,"pùtùmpú:, ɛ̀njɛ̀-bɛ̀rɛ̀-kɔ́rɔ̀",,,,,,,,,,,,,,àbúdù,,,,,pɛ̀ràríyà,,,,,,,,,,,(various),,,normally includes C. forskaolei and C. beghalensis and any others locally present,plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50178,,,2011,,herb sp.,plante herbacée sp.,,,pùtùm-pù: árⁿà,,"nà:mbí-jǎwrâ (""cotton-climb"")",,,"pùtùmpú:, ɛ̀njɛ̀-bɛ̀rɛ̀-kɔ́rɔ̀",,,kɛ́lɛ́-gùgùrù,,"bùlú-kɛ̀gɛ̀rɛ̀ (""lizard-..."")",,sàtɛ̀,tàtá-bùrû:,,"yèŋèlè jɛ̀mbɛ́ (""fly-shoulderbag"")","yèŋèlè jɛ̀mbɛ́ (""fly-shoulderbag"")",kɛ́lɛ̀-kɛ̀lɛ̀,,"àbùdù sòm-bɛ́ndɛ̀ (""Commelina horse-bag"")",tɛ́gɛnɛ́-ŋgó\\tɛ́gɛ́nɛ́,"pùndà-púndá (Boui), tɛ̀gìnɛ̀ bánà (""... male"", Tanga)",,,pɛ̀ràríyà,péráríyà,,pɛ̀làlìyà,,kɔ̀:-tàgà-gúmbí-bógò,,,,,,Commelina benghalensis var. benghalensis,,,broad leaves,plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50179,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commelina diffusa subsp. diffusa,,,"leaf lanceolate-elliptical, flower blue",plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50678,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commelina erecta,,,,plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50180,,,2011,,herb sp.,plante herbacée sp.,,,pùtùm-pù: árⁿà,,"nà:mbí-jǎwrâ (""cotton-climb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tónd-ó wálànjíl-ò (""rock Commelina"")",,,Commelina erecta subsp. livingstonii,Commelina subalbescens,,"leaf lanceolate-elliptical, flower blue",plant,2005_436
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50679,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commelina erecta subst. erecta,Commelina bracteosa,,,plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50181,,,2011,,herb sp.,plante herbacée sp.,,pùtùrù-pǔ:,pùtùm-pù: yǎ:,bùtùlù-bǔ: (as in TSK),"ɛ̀njɛ̂ pìrè-kɔ̀rɔ̀ (""chicken's intestines"")",,"bûr-[cì-cɛ́rɛ́] ~ bûl-[cɛ̀-cɛ́rɛ́] (""...-saddle"") ","pùtùmpú:, ɛ̀njɛ̀-bɛ̀rɛ̀-kɔ́rɔ̀",búr-kìkɛ́rɛ̀,,kɛ́lɛ́-gùgùrù,búrù ~ bûr,"bùlú-kɛ̀gɛ̀rɛ̀ (""lizard-..."")","dòbú-ɛ̀lɛ̀ (""hornbill-peanut"")",sàtɛ̀,tàtá-bùrû:,,ɔ̀mɔ̀lɔ̀-kɔ́ɔ́lɔ̀,"yèŋèlè jɛ̀mbɛ́ (""fly-shoulderbag"")",kɛ́lɛ̀-kɛ̀lɛ̀,ɔ̀mɔ̀:-kwǎ:,àbùdù cé:rⁿè,tɛ́gɛnɛ́-ŋgó\\tɛ́gɛ́nɛ́,"tɛ̀ŋɛ̀nɛ́ (Boui), tɛ̀gìnɛ̀ yé (""... female"", Tanga)",kòlùbá-kòlùbà,,pɛ̀ràríyà,péráríyà,,pɛ̀làlìyà,,"kʷɔ̀tàgà gǔmbí bògò (SE spcm 1), àbúdù tɛ̀ríⁿ (SE spcm 2), kɔ̀:-tàgà-gúmbí-bógò̀ (JH 11)",,,wàlànjíl-ò ~ wàlàŋgíl-ò,bùtùlù-bǔ:,,Commelina forskaolei,,,"crawling plant, undulating leaf, blue flower, common weed in fields",plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50182,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,kòlùbá`-kólúbà,,,xxx,,,,,,,,,Commelina spp.,,,includes C. forskaolei and one or more others,plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50183,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commelina subulata,,,"leaf linear, flower yellow (rarely blue)",plant,
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50184,,,2011,,herb sp.,plante herbacée sp.,,,,nà:gí,,,,,,,,,xxx,sàné-dòmólò,kàmàjì-kwɛ̀njí,jí:-sàgàrû:,,sèlèndíyé,sèrèndíyé xxx[verify],dùm-pɛ̀ndù-nà:gà,,,"pɛ̀gɔ̀lɔ̂: tɛ̀gɛ̀nɛ̀ (Kubewel dialect), yàsìl-mbò énjé (Adia dialect, ""old.person-Sclerocarya.mash"")",mísɛ́sɛ̀ (Tanga),"sùgɔ̀-kó: kɔ̀jì (""shit-pile grass"")",,tàwá dɛ̀rɛ̀ kɔ́jí,tàwá` déré kɔ́jí,,,,kɔ̀:tàɣàgùmbíbògò (JH 05),,,,"[wǒy-[zɛ́:n-ɔ̀:]]-gí: (""old woman's butter"")",,Cyanotis lanata,,,"purplish stem, leaf narrowly oblong-lanceolate",plant,2004_432/434/435
flora,flowering,flore,fleurissant,200,5,Commelinaceae,,,50185,,,2011,,herb sp.,plante herbacée sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Murdannia simplex,,,"leaf linear, flower blue-violet",plant,
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50186,,,2011,,herb sp.,plante herbacée sp.,,sàrkíyà,"pɛ́:-pɛ́:, ùsùbɔ̀rⁿɔ̀-sàwâ:",,,,,,,,,,,,,,,tín-tìm,"tìntìn jǎ:, tìm-tìm jǎ: (JH < Ramata, ""Scoparia-meal"")",,jà:jé-gòrí:,,,,,,,,,,,,,,,"léggél-hàrù (""... male"")",,Evolvulus alsinoides,,,sand and fields; small isolated blue flowers on axillary peduncle 2-3 cm long,plant,"2004_237/273/282/679, 2005_679"
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50187,,,2011,,trailing vine sp.,plante rampante sp.,,tàlà:lá,"pɛ̀rɛ̀-ɔ́rɔ̀y (""sheep-placenta"")",dɛ́:pɛ̀,"nɔ̀:mbɔ́ sáwà (""rainbow's grass"")",,,"ní: wà ɔ̀yɔ̀-wà:rⁿá, lòryò-gúlɔ́",,,,,,,,,,nòlólìyèm,"nòlólìèm, nòlólìyòm [JH < Z]",nà:-gírúwè sê:,sòm-gár,,"bómbór-ŋgó\\bómbóré, bòmbòrè mènjú:\\bòmbòrè mènjí: (""... small""), [íŋgé kùl] tɔ̀ndɛ̀-ŋgò\\tɔ̀ndɛ̀ (""[water in] vine"")",kòròŋ-kò: yé: (Boui),,,gámárájí,gámárájí,,,,tɔ́lɛ́ (JH 05),,,,"tálálà-hàrù (""...-male"", because of narrow leaf)",,Ipomoea aquatica,,,"crawling, can float",plant,
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50188,,,2011,,trailing vine sp.,plante rampante sp.,,,ɛ̀lɛ̀y-wâ:,dɛ́:pɛ̀,gúrgúsì,,,"nɔ̀:mbɔ̀-bèrú, lóryó",nɔ̀mɔ̀-bèrú,,,yòló-lɛ̂m,ɔ́:-lɔ̀rìyàwⁿ,nɔ̀mmɔ̀-bèlé,ʔwɛ̀lɛ̀-gùlà,ɛ̀lɛ̀-gùrâ:,,nòlólìyèm,"nòlólìèm, nòlólìyòm [JH < Z]",nòmmò-bèlé,ló-lòmè,"nɔ̀mɔ̀-bèl (""rainbow-grass"")",bómbór-ŋgó\\bómbóré,"kòróŋ-kó: (Boui), kòròŋ-kò: báná (Boui, ""... male"")",nɛ̀mbɔ̀m-bélè,,pàràsímɔ̀,pàrà símmɔ̀,xxx,bálándé,,"tìntàmá (SE, JH 05)",,,tàlál-ò [tone],"tálálà-wòy (""...-female"", because of broad leaf)",,Ipomoea asarifolia,,,"bushy, in moist sand",plant,
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50690,,,2011,,trailing vine spp. (aquatic or semi-aquatic),plante rampante spp. (aquatique ou mi-aquatique),,,,,,,"nɔ̀mɔ̀-bèrú (""rainbow-fodder"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,tálálà,,Ipomoea asarifolia and I. aquatica,,,,plant,
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50189,,,2011,,sweet potato,patate (douce),,,,,,,"wósó, màsà-kû: (< Bam), [bànà-kù:ⁿ]-ɲǎ:",,,,,bànà-kú: ~ bàrⁿà-kú:,,,,màsà-kû:ⁿ,,bànàŋkù bùmbɔ́,bànàkù bùmbɔ́ [JH < Z],,,,,màsá-kú:,,,,,kú (kû:),,,,,,másákû [tone],másà-kû:,,Ipomoea batatas,,,cultivated,plant (cultivated),
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50190,,,2011,,trailing vine sp.,plante rampante sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"láyndí-màrìyà (""...-small"")",,Ipomoea blepharophylla,,,large spreading mauve flower,plant,
flora,flowering,flore,fleurissant,200,5,Convolvulaceae,,,50191,,,2011,,trailing vine sp.,plante rampante sp.,,,,,"gɛ̀ŋgɛ̀ndì-lɔ̀sɔ̂ (""gecko-foot"")",,,,,,,,,,,,,,gɛ́nɛ́ xxx[verify],dɔ̀:mà níɲìlè,,"pɛ̀ndù-nâ: (""gecko-foot"")",,"layni (Boui), layndi (Tanga)",,,,,,,,,,,,,,Ipomoea coptica var. coptica,,,"small digitilobate leaf (cf. I kotschyana), flower on long peduncle 2-5 cm",plant,
